IMINE2-J-001	cvs オープンソース		241.53808900000004,	IRCE-Q-J-3S
IMINE2-J-001	cvs バージョン管理システム		202.29546799999997,0.3086581319877603	IRCE-Q-J-3S
IMINE2-J-001	cvs エセックス級航空母艦		115.81491800000002,0.5652704714905818	IRCE-Q-J-3S
IMINE2-J-001	cvs 企業		97.04383899999999,0.09460125253331712	IRCE-Q-J-3S
IMINE2-J-001	cvs ソフトウェア開発ツール		92.77914299999999,0.4016650751049645	IRCE-Q-J-3S
IMINE2-J-001	cvs コンピュータ		80.617357,0.43934488011322226	IRCE-Q-J-3S
IMINE2-J-001	cvs FLOSS		79.206374,0.5810633094484097	IRCE-Q-J-3S
IMINE2-J-001	cvs 人物		54.778613,0.010833333333333332	IRCE-Q-J-3S
IMINE2-J-001	cvs 日本のコンビニ		70.769525,0.49192774495418784	IRCE-Q-J-3S
IMINE2-J-001	cvs ソフトウェア		68.442578,0.5837660926850246	IRCE-Q-J-3S
IMINE2-J-002	ゆずの楽曲		519.5341959999998,	IRCE-Q-J-3S
IMINE2-J-002	ゆず シングル		386.88454299999995,0.2010850975909914	IRCE-Q-J-3S
IMINE2-J-002	ゆず 北川悠仁が制作した楽曲		386.41475849999995,0.5306539455460912	IRCE-Q-J-3S
IMINE2-J-002	ゆずのアルバム		243.51335599999996,0.5747049456647102	IRCE-Q-J-3S
IMINE2-J-002	ゆず 岩沢厚治が制作した楽曲		205.914561,0.5306539455460912	IRCE-Q-J-3S
IMINE2-J-002	ゆずの映像作品		120.90892200000002,0.5589861325050451	IRCE-Q-J-3S
IMINE2-J-002	ゆず オリコンアルバムチャート1位獲得作品		121.07690500000001,0.6018053392921969	IRCE-Q-J-3S
IMINE2-J-002	ゆず アルバム		96.986976,0.48779130668535486	IRCE-Q-J-3S
IMINE2-J-002	ゆず 人物		36.170109,0.1284722222222222	IRCE-Q-J-3S
IMINE2-J-002	ゆず ヘ長調の曲		72.5007315,0.4719756531084656	IRCE-Q-J-3S
IMINE2-J-003	フェイト 人物		182.60361500000002,	IRCE-Q-J-3S
IMINE2-J-003	フェイト UFCの大会		113.389232,0.031494341563786006	IRCE-Q-J-3S
IMINE2-J-003	フェイト WECの大会		45.850055,0.437857309491508	IRCE-Q-J-3S
