## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
バージョン管理システム	202.29546799999997,0.3086581319877603
エセックス級航空母艦	115.81491800000002,0.5652704714905818
企業	97.04383899999999,0.09460125253331712
ソフトウェア開発ツール	92.77914299999999,0.4016650751049645
コンピュータ	80.617357,0.43934488011322226
FLOSS	79.206374,0.5810633094484097
存命人物	54.778613,0.010833333333333332
日本のコンビニ	70.769525,0.49192774495418784
ソフトウェア	68.442578,0.5837660926850246
1945年竣工船	49.190335000000005,0.3608918420391133
KDE	56.257591000000005,0.5588698059816415
薬局・薬店	47.429491,0.35293309976668
BSD	55.547247999999996,0.626194343740623
統合開発環境	51.89398,0.5686072642868966
アメリカ合衆国の小売業者	47.429491,0.47806814032381506
Linuxディストリビューション	50.340686,0.6586148873313898
コンピュータゲーム	42.263401,0.5787646874303839
アメリカ合衆国の揚陸艦	40.871752,0.5432288903088563
協働	30.172584,0.24727777777777776
GNUプロジェクト	40.316027,0.6253052876371741
ローソン	44.61018,0.7454507703658158
日本のLinux開発	37.290687,0.631454663738476
技術のウェブサイト	24.767906,0.26695114255282165
オープンソース文化・運動	24.767906,0.2980767833141126
Javaツール	39.655887,0.7734721013029664
ネットワークソフト	28.803825,0.4805095045022568
東京都出身の人物	28.142635,0.4610553398378458
1943年竣工船	26.340266,0.4124193780265777
1946年竣工船	25.988647,0.4124193780265777
NYSE上場企業	30.092089,0.5970284795273394
フリーソフトウェアのプロジェクト	24.767906,0.44617942800265925
経済地理学	15.784735,0.1711049456393604
テキストエディタ	25.433952,0.47997549536899353
インターネット技術	26.460028,0.5437095136458087
自動車	16.38699,0.29079281929785006
コンパイラ	26.869191,0.6214167391838233
規模の経済	15.784735,0.28126659892876665
道路交通	16.38699,0.31235127255761136
Apacheソフトウェア財団	26.834787,0.6455816258546039
UNIXに関連する組織	25.433952,0.6063734622768685
エンジニアリング	12.038476,0.19831889588155865
電子工学	14.026624,0.3001784032654884
通信プロトコル	14.374394,0.3137213566721997
研究プロジェクト	12.085634,0.2430830674739544
1970年代の玩具	12.8211,0.26698412620106377
Java	26.460028,0.6974652548867103
方法論	12.038476,0.25054722558236525
電子商取引	13.604694,0.3071058219080656
データベース	14.882075,0.34826045457835797
コンピュータのデータ	12.8211,0.2846530848668188
情報システム	13.604694,0.31369471382049074
製造	12.038476,0.2763816550925926
経営戦略論	15.784735,0.3954876181520062
白色矮星	12.085634,0.28574768303226966
連星	12.085634,0.28574768303226966
日本の実業家	14.374394,0.35903511409936856
ザ・キング・オブ・ファイターズの登場人物	29.49624,0.8318774326919256
サークルKサンクス	29.257171,0.8353185031857727
1981年設立の企業	15.652477,0.4185487737040788
1984年没	15.500951,0.41900226647255767
1917年生	15.500951,0.4275323585867245
変光星の分類	12.085634,0.32555717162434744
クロスプラットフォームのソフトウェア	29.645366000000003,0.8816938737782922
1947年設立の企業	13.031284,0.3805000964506172
1948年設立の企業	12.8211,0.3805000964506172
アプリケーションソフト	14.340986,0.43500246484910826
1962年生	14.374394,0.4434341242283949
1983年設立の企業	14.026624,0.43551070601851843
比較	14.095895,0.4437974697788065
バグ	12.8211,0.4081304678314226
オラクル	14.374394,0.46173321759259256
