## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
存命人物	54.778613,0.0035694444444444445
製造	12.038476,0.10444631374926514
経済地理学	15.784735,0.1111111111111111
白色矮星	12.085634,0.13452353423028118
連星	12.085634,0.13975942086689785
バージョン管理システム	202.29546799999997,0.3086581319877603
規模の経済	15.784735,0.16557267075586668
エンジニアリング	12.038476,0.18522135416666666
企業	97.04383899999999,0.3300347222222222
協働	30.172584,0.24727777777777776
1970年代の玩具	12.8211,0.22765980866781033
研究プロジェクト	12.085634,0.22709700708562255
薬局・薬店	47.429491,0.28141802289680096
方法論	12.038476,0.23974093967013888
オープンソース文化・運動	24.767906,0.2637216798659799
技術のウェブサイト	24.767906,0.2763816550925926
変光星の分類	12.085634,0.2607976421569969
コンピュータのデータ	12.8211,0.2642192189706606
自動車	16.38699,0.2696289603407366
電子工学	14.026624,0.2713630236822918
ソフトウェア開発ツール	92.77914299999999,0.38670007281872765
道路交通	16.38699,0.2789657978501733
電子商取引	13.604694,0.27746555765352515
情報システム	13.604694,0.2834700503673941
1947年設立の企業	13.031284,0.2833433326460482
1948年設立の企業	12.8211,0.2833433326460482
1945年竣工船	49.190335000000005,0.33583913106321334
日本の実業家	14.374394,0.2916764532579338
認定資格	12.038476,0.3035009954005112
データベース	14.882075,0.310640252631591
通信プロトコル	14.374394,0.3137213566721997
イギリスの言語学者	12.157069,0.31105540096913015
1943年竣工船	26.340266,0.33583913106321334
1946年竣工船	25.988647,0.33583913106321334
1981年設立の企業	15.652477,0.3243243731524795
1984年没	15.500951,0.3252731748499713
世界ゴルフ殿堂	13.031284,0.3221443303837973
1983年設立の企業	14.026624,0.3243243731524795
1976年設立の企業	12.8211,0.3243243731524795
2008年没	12.157069,0.3252731748499713
1917年生	15.500951,0.3317791046237155
1962年生	14.374394,0.3317791046237155
バグ	12.8211,0.33010084432770437
1970年生	13.768241,0.3317791046237155
1968年生	13.604694,0.3317791046237155
1957年生	13.031284,0.3317791046237155
1920年生	12.157069,0.3317791046237155
1944年竣工船	12.383953,0.33583913106321334
天文学に関する記事	12.085634,0.3370625160751029
コンピュータ	80.617357,0.43934488011322226
東京都出身の人物	28.142635,0.3654641648925067
オラクル	14.374394,0.35394273241249785
アプリケーションソフト	14.340986,0.35648032032046034
菓子の商品名	13.348318,0.35527546118076825
比較	14.095895,0.35810624436570127
日本のコンビニ	70.769525,0.4459153582903301
フリーソフトウェアのプロジェクト	24.767906,0.3809202146087687
日本の食品産業	14.026624,0.3666963289503207
博物館船	13.956313,0.3668998144829555
ゲーム機	12.8211,0.3672645313370678
プロジェクトマネジメントソフト	12.8211,0.3714034756617471
EDAソフト	14.026624,0.3743120436096165
ソフトウェア	68.442578,0.4557816300161764
かつて存在したウェブサイト	12.8211,0.3783410270228495
Googleのサービス	12.8211,0.38307926665045755
登録商標	12.038476,0.3819563568023285
